name,is_company,website,email,phone,street,city,country_id,is_faizy_vendor,faizy_vendor_type,faizy_vendor_state,faizy_vendor_service_ids,faizy_vendor_note
METRO Pakistan,True,https://www.metro.pk/,,,,Lahore,Pakistan,True,Grocery / Kiryana,Prospect,"Grocery & Daily,Eid Groceries & Hampers","RESEARCHED LEAD — not contacted, contact details not verified. Nationwide grocery, electronics and lifestyle. Home delivery in Lahore, Islamabad, Karachi, Faisalabad and Multan; express delivery within 3 hours in the major cities. Largest and most likely to have a B2B account process."
Bazaar App,True,https://www.bazaarapp.com/,,,,Karachi,Pakistan,True,Grocery / Kiryana,Prospect,Grocery & Daily,"RESEARCHED LEAD — not contacted, contact details not verified. Online grocery in Karachi, Lahore, Islamabad and other cities. Next-day delivery."
Springs,True,https://springs.com.pk/,,,,Karachi,Pakistan,True,Grocery / Kiryana,Prospect,Grocery & Daily,"RESEARCHED LEAD — not contacted, contact details not verified. Founded 2015. Delivers to Karachi, Lahore, Islamabad, Rawalpindi, Multan, Faisalabad and Peshawar across 13 categories."
CartPK,True,https://www.cartpk.com/,,,,Karachi,Pakistan,True,Grocery / Kiryana,Prospect,Grocery & Daily,"RESEARCHED LEAD — not contacted, contact details not verified. Karachi only, two-hour delivery anywhere in the city, free above Rs. 3000. Fastest option found for an urgent Karachi grocery run."
SPAR Pakistan,True,https://store.spar.pk/,,,,Karachi,Pakistan,True,Grocery / Kiryana,Prospect,Grocery & Daily,"RESEARCHED LEAD — not contacted, contact details not verified. Supermarket chain delivering across Karachi."
TCS,True,https://www.tcs.com.pk/,,,,Karachi,Pakistan,True,Courier / Transport,Prospect,"Pickup & Drop,Gifts to Relatives","RESEARCHED LEAD — not contacted, contact details not verified. Pakistan's oldest courier, 2000+ agents and outlets, widest reach including smaller cities and international. The one to use when the family is outside the three cities Faizy staffs."
Leopards Courier,True,https://www.leopardscourier.com/,,,,Karachi,Pakistan,True,Courier / Transport,Prospect,"Pickup & Drop,Gifts to Relatives","RESEARCHED LEAD — not contacted, contact details not verified. Largest Pakistani courier by shipment volume, 3000+ destinations. Same-day delivery available in Karachi, Lahore and Islamabad; COD and tracking."
M&P (Mulphi Logistics),True,https://www.mulphilog.com/,,,,Karachi,Pakistan,True,Courier / Transport,Prospect,Pickup & Drop,"RESEARCHED LEAD — not contacted, contact details not verified. 200+ branches nationwide, door-to-door. Reported as the cheapest of the three majors, so worth quoting against TCS and Leopards."
oladoc,True,https://oladoc.com/,,,,Lahore,Pakistan,True,Clinic / Doctor,Prospect,,"RESEARCHED LEAD — not contacted, contact details not verified. Doctor discovery, appointment booking and video consultation nationwide; has moved into medicine delivery too. Useful for Hospital Escort jobs where the appointment must be booked first."
Sehat Kahani,True,https://sehatkahani.com/,,,,Karachi,Pakistan,True,Clinic / Doctor,Prospect,,"RESEARCHED LEAD — not contacted, contact details not verified. Founded 2017 by two female doctors; connects patients to qualified female doctors by video. Directly relevant where a mother or grandmother will only see a female doctor."
Marham,True,https://www.marham.pk/,,,,Lahore,Pakistan,True,Clinic / Doctor,Prospect,,"RESEARCHED LEAD — not contacted, contact details not verified. Doctor search, appointment booking and online consultation nationwide. Started 2015."
